,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,1,1,2,2,3,3,3,3,3,3,3,3,3
K,1,1,2,3,3,4,5,6,6,6,6,6,6
Q,2,2,1,3,4,4,5,6,6,6,6,6,6
J,3,3,3,2,4,4,5,6,6,6,6,6,6
T,4,4,4,4,2,4,4,5,6,6,6,6,6
9,4,5,5,5,5,3,4,5,5,6,6,6,6
8,4,6,6,5,5,5,3,4,5,6,6,6,6
7,4,6,6,6,6,5,5,4,4,5,6,6,6
6,4,6,6,6,6,6,5,5,4,4,5,6,6
5,4,6,6,6,6,6,6,6,5,4,5,6,6
4,5,6,6,6,6,6,6,6,6,6,4,5,6
3,5,6,6,6,6,6,6,6,6,6,6,4,6
2,5,6,6,6,6,6,6,6,6,6,6,6,4
